Community,City,County,State
"EUREKA, CA",EUREKA,Humboldt,CA
"FAIRFIELD, CA",FAIRFIELD,Solano,CA
"FALLBROOK, CA",FALLBROOK,San Diego,CA
"FERNDALE, CA",FERNDALE,Humboldt,CA
"FORT BRAGG, CA",FORT BRAGG,Mendocino,CA
"FORTUNA, CA",FORTUNA,Humboldt,CA
"FOSTER CITY, CA",FOSTER CITY,San Mateo,CA
"FOUNTAIN VALLEY, CA",FOUNTAIN VALLEY,Orange,CA
"FREMONT, CA",FREMONT,Alameda,CA
"FULLERTON, CA",FULLERTON,Orange,CA
"GARDENA, CA",GARDENA,Los Angeles,CA
"GLENDALE, CA",GLENDALE,Los Angeles,CA
"GOLETA, CA",GOLETA,Santa Barbara,CA
"GROVER BEACH, CA",GROVER BEACH,San Luis Obispo,CA
"GUADALUPE, CA",GUADALUPE,Santa Barbara,CA
"GUERNEVILLE, CA",GUERNEVILLE,Sonoma,CA
"HALF MOON BAY, CA",HALF MOON BAY,San Mateo,CA
"HAWAIIAN GARDENS, CA",HAWAIIAN GARDENS,Los Angeles,CA
"HAYWARD, CA",HAYWARD,Alameda,CA
"HEALDSBURG, CA",HEALDSBURG,Sonoma,CA
"HERMOSA BEACH, CA",HERMOSA BEACH,Los Angeles,CA
"HUNTINGTON BEACH, CA",HUNTINGTON BEACH,Orange,CA
"IMPERIAL BEACH, CA",IMPERIAL BEACH,San Diego,CA
"INGLEWOOD, CA",INGLEWOOD,Los Angeles,CA
"INVERNESS, CA",INVERNESS,Marin,CA
"IRVINE, CA",IRVINE,Orange,CA
"KENTFIELD, CA",KENTFIELD,Marin,CA
"KLAMATH, CA",KLAMATH,Del Norte,CA
"LA CANADA, CA",LA CANADA,Los Angeles,CA
"LAFAYETTE, CA",LAFAYETTE,Contra Costa,CA
"LA MESA, CA",LA MESA,San Diego,CA
"LANCASTER, CA",LANCASTER,Los Angeles,CA
"LEMON GROVE, CA",LEMON GROVE,San Diego,CA
"LIVERMORE, CA",LIVERMORE,Alameda,CA
"LOMPOC, CA",LOMPOC,Santa Barbara,CA
"LOS ALAMITOS, CA",LOS ALAMITOS,Orange,CA
"LOS ALTOS, CA",LOS ALTOS,Santa Clara,CA
"LOS ANGELES, CA",LOS ANGELES,Los Angeles,CA
"LOS GATOS, CA",LOS GATOS,Santa Clara,CA
"LYNWOOD, CA",LYNWOOD,Los Angeles,CA
"MCKINLEYVILLE, CA",MCKINLEYVILLE,Humboldt,CA
"MALIBU, CA",MALIBU,Los Angeles,CA
"MANHATTAN BEACH, CA",MANHATTAN BEACH,Los Angeles,CA
"MARTINEZ, CA",MARTINEZ,Contra Costa,CA
"MENDOCINO, CA",MENDOCINO,Mendocino,CA
"MILL VALLEY, CA",MILL VALLEY,Marin,CA
"MISSION VIEJO, CA",MISSION VIEJO,Orange,CA
"POINT MONTARA, CA",POINT MONTARA,San Mateo,CA
"MONTEREY, CA",MONTEREY,Monterey,CA
"MORRO BAY, CA",MORRO BAY,San Luis Obispo,CA
"MOSS BEACH, CA",MOSS BEACH,San Mateo,CA
"MOUNTAIN VIEW, CA",MOUNTAIN VIEW,Santa Clara,CA
"MUIR BEACH, CA",MUIR BEACH,Marin,CA
"NAPA, CA",NAPA,Napa,CA
"NATIONAL CITY, CA",NATIONAL CITY,San Diego,CA
"NEWARK, CA",NEWARK,Alameda,CA
"NEWPORT BEACH, CA",NEWPORT BEACH,Orange,CA
"NIPOMO, CA",NIPOMO,San Luis Obispo,CA
"NORWALK, CA",NORWALK,Los Angeles,CA
"NOVATO, CA",NOVATO,Marin,CA
"OAKLAND, CA",OAKLAND,Alameda,CA
"OAKLEY, CA",OAKLEY,Contra Costa,CA
"OCCIDENTAL, CA",OCCIDENTAL,Sonoma,CA
"OCEANO, CA",OCEANO,San Luis Obispo,CA
"OJAI, CA",OJAI,Ventura,CA
"ORANGE, CA",ORANGE,Orange,CA
"OXNARD, CA",OXNARD,Ventura,CA
"PACIFICA, CA",PACIFICA,San Mateo,CA
"PALO ALTO, CA",PALO ALTO,Santa Clara,CA
"PARAMOUNT, CA",PARAMOUNT,Los Angeles,CA
"PASADENA, CA",PASADENA,Los Angeles,CA
"PETALUMA, CA",PETALUMA,Sonoma,CA
"PINOLE, CA",PINOLE,Contra Costa,CA
"PISMO BEACH, CA",PISMO BEACH,San Luis Obispo,CA
"PITTSBURG, CA",PITTSBURG,Contra Costa,CA
"PLEASANT HILL, CA",PLEASANT HILL,Contra Costa,CA
"PLEASANTON, CA",PLEASANTON,Alameda,CA
"POINT ARENA, CA",POINT ARENA,Mendocino,CA
"PORT HUENEME, CA",PORT HUENEME,Ventura,CA
"POWAY, CA",POWAY,San Diego,CA
"RANCHO PALOS VERDES, CA",RANCHO PALOS VERDES,Los Angeles,CA
"REDONDO BEACH, CA",REDONDO BEACH,Los Angeles,CA
"REDWOOD CITY, CA",REDWOOD CITY,San Mateo,CA
"RICHMOND, CA",RICHMOND,Contra Costa,CA
"RIO VISTA, CA",RIO VISTA,Solano,CA
"RODEO, CA",RODEO,Contra Costa,CA
"ROHNERT PARK, CA",ROHNERT PARK,Sonoma,CA
"SAINT HELENA, CA",SAINT HELENA,Napa,CA
"SAN BRUNO, CA",SAN BRUNO,San Mateo,CA
"VENTURA, CA",VENTURA,Ventura,CA
"SAN CARLOS, CA",SAN CARLOS,San Mateo,CA
"SAN CLEMENTE, CA",SAN CLEMENTE,Orange,CA
"SAN DIEGO, CA",SAN DIEGO,San Diego,CA
"SAN FRANCISCO, CA",SAN FRANCISCO,San Francisco,CA
"SAN JOSE, CA",SAN JOSE,Santa Clara,CA
"CAPISTRANO, CA",CAPISTRANO,Orange,CA
"SAN LEANDRO, CA",SAN LEANDRO,Alameda,CA
"SAN LUIS OBISPO, CA",SAN LUIS OBISPO,San Luis Obispo,CA
"SAN MARCOS, CA",SAN MARCOS,San Diego,CA
"SAN MATEO, CA",SAN MATEO,San Mateo,CA
"SAN MIGUEL, CA",SAN MIGUEL,San Luis Obispo,CA
"SAN RAFAEL, CA",SAN RAFAEL,Marin,CA
"SANTA ANA, CA",SANTA ANA,Orange,CA
"SANTA BARBARA, CA",SANTA BARBARA,Santa Barbara,CA
"SANTA CRUZ, CA",SANTA CRUZ,Santa Cruz,CA
"SANTA MARIA, CA",SANTA MARIA,Santa Barbara,CA
"SANTA MONICA, CA",SANTA MONICA,Los Angeles,CA
"SANTA PAULA, CA",SANTA PAULA,Ventura,CA
"SANTA ROSA, CA",SANTA ROSA,Sonoma,CA
"SANTEE, CA",SANTEE,San Diego,CA
"SAUSALITO, CA",SAUSALITO,Marin,CA
"SEAL BEACH, CA",SEAL BEACH,Orange,CA
"SEBASTOPOL, CA",SEBASTOPOL,Sonoma,CA
"SIMI VALLEY, CA",SIMI VALLEY,Ventura,CA
"SOLANA BEACH, CA",SOLANA BEACH,San Diego,CA
"SOLVANG, CA",SOLVANG,Santa Barbara,CA
"SONOMA, CA",SONOMA,Sonoma,CA
"SOUTH GATE, CA",SOUTH GATE,Los Angeles,CA
"SOUTH SAN FRANCISCO, CA",SOUTH SAN FRANCISCO,San Francisco,CA
"SPRING VALLEY, CA",SPRING VALLEY,San Diego,CA
"STINSON BEACH, CA",STINSON BEACH,Marin,CA
"SUISUN CITY, CA",SUISUN CITY,Solano,CA
"SUMMERLAND, CA",SUMMERLAND,Santa Barbara,CA
"SUNNYVALE, CA",SUNNYVALE,Santa Clara,CA
"THOUSAND OAKS, CA",THOUSAND OAKS,Ventura,CA
"TIBURON, CA",TIBURON,Marin,CA
"TOMALES BAY, CA",TOMALES BAY,Marin,CA
"TORRANCE, CA",TORRANCE,Los Angeles,CA
"TRINIDAD, CA",TRINIDAD,Humboldt,CA
"UKIAH, CA",UKIAH,Mendocino,CA
"UPLAND, CA",UPLAND,San Bernardino,CA
"VACAVILLE, CA",VACAVILLE,Solano,CA
"VALLEJO, CA",VALLEJO,Solano,CA
"VALLEY CENTER, CA",VALLEY CENTER,San Diego,CA
"VISTA, CA",VISTA,San Diego,CA
"WALNUT, CA",WALNUT,Los Angeles,CA
"WALNUT CREEK, CA",WALNUT CREEK,Contra Costa,CA
"MOONSTONE BEACH, CA",MOONSTONE BEACH,Humboldt,CA
"WESTLAKE VILLAGE, CA",WESTLAKE VILLAGE,Los Angeles,CA
"WESTMINSTER, CA",WESTMINSTER,Orange,CA
"WHITTIER, CA",WHITTIER,Los Angeles,CA
"WILLITS, CA",WILLITS,Mendocino,CA
"WINDSOR, CA",WINDSOR,Sonoma,CA
"YOUNTVILLE, CA",YOUNTVILLE,Napa,CA
"ASTORIA, OR",ASTORIA,Clatsop,OR
"BANDON, OR",BANDON,Coos,OR
"BROOKINGS, OR",BROOKINGS,Curry,OR
"COOS BAY, OR",COOS BAY,Coos,OR
"DEPOE BAY, OR",DEPOE BAY,Lincoln,OR
"FLORENCE, OR",FLORENCE,Lane,OR
"GARIBALDI, OR",GARIBALDI,Tillamook,OR
"GOLD BEACH, OR",GOLD BEACH,Curry,OR
"NEHALEM, OR",NEHALEM,Tillamook,OR
"NEWPORT, OR",NEWPORT,Lincoln,OR
"PACIFIC CITY, OR",PACIFIC CITY,Tillamook,OR
"PORT ORFORD, OR",PORT ORFORD,Curry,OR
"TILLAMOOK, OR",TILLAMOOK,Tillamook,OR
"WINCHESTER BAY, OR",WINCHESTER BAY,Douglas,OR
"ANACORTES, WA",ANACORTES,Skagit,WA
"BELLINGHAM, WA",BELLINGHAM,Whatcom,WA
"BLAINE, WA",BLAINE,Whatcom,WA
"CAMAS, WA",CAMAS,Clark,WA
"CATHLAMET, WA",CATHLAMET,Wahkiakum,WA
"CHINOOK, WA",CHINOOK,Pacific,WA
"EVERETT, WA",EVERETT,Snohomish,WA
"ILWACO, WA",ILWACO,Pacific,WA
"KALAMA, WA",KALAMA,Cowlitz,WA
"KELSO, WA",KELSO,Cowlitz,WA
"LA CONNER, WA",LA CONNER,Skagit,WA
"LONGVIEW, WA",LONGVIEW,Cowlitz,WA
"MARIETTA, WA",MARIETTA,Whatcom,WA
"NEAH BAY, WA",NEAH BAY,Clallam,WA
"PORT ANGELES, WA",PORT ANGELES,Clallam,WA
"RIDGEFIELD, WA",RIDGEFIELD,Clark,WA
"SEATTLE, WA",SEATTLE,King,WA
"SEQUIM, WA",SEQUIM,Clallam,WA
"TACOMA, WA",TACOMA,Pierce,WA
"VANCOUVER, WA",VANCOUVER,Clark,WA
"WASHOUGAL, WA",WASHOUGAL,Clark,WA
"WESTPORT, WA",WESTPORT,Grays Harbor,WA
