<<<<<<< Updated upstream
"","record","lobster","herring","menhaden","scallop","cod","haddock","pollock","halibut","white_hake","dabs","gray_sole","windowpane","yellowtail","winter_flounder","redfish","monkfish","skates","whiting","red_hake","red_crab","clams","squid","dogfish","summer_flounder","scup","black_seabass","other","species","lobster_income","herring_income","menhaden_income","scallop_income","cod_income","haddock_income","pollock_income","halibut_income","white_hake_income","dabs_income","gray_sole_income","windowpane_income","yellowtail_income","winter_flounder_income","redfish_income","monkfish_income","skates_income","whiting_income","red_hake_income","red_crab_income","clams_income","squid_income","dogfish_income","summer_flounder_income","scup_income","black_seabass_income","other_spp_income","inshore_gom","offshore_gom","gb","sne","lis","mid","other_region","other_region_descrip","homeport","port_zip","yrs_fishing","hometown","home_zip","yrs_residence","captain","vessel_owner","crew","other_role","other_role_descrip","crew_num","vessel","longline","midwater_trwl","bottom_trwl","trap","purse_seine","gillnet","rod_reel","other_gear","other_gear_descrip","other_fisheries","other_fisheries_descrip","income","age","gender","other_gender","tribe","ocean_temp","severe_weather","target_spp","other_change","other_obs_change","ability","explanation","lob_warming","lob_warming_conf","herr_warming","herr_warming_conf","men_warming","men_warming_conf","sclp_warming","sclp_warming_conf","cod_warming","cod_warming_conf","hadk_warming","hadk_warming_conf","polk_warming","polk_warming_conf","halbt_warming","halbt_warming_conf","wht_hake_warming","wht_hake_warming_conf","dabs_warming","dabs_warming_conf","gry_sole_warming","gry_sole_warming_conf","windowpane_warming","windowpane_warming_conf","yellowtail_warming","yellowtail_warming_conf","wnt_flnder_warming","wnt_flnder_warming_conf","redfish_warming","redfish_warming_conf","monkfish_warming","monkfish_warming_conf","skates_warming","skates_warming_conf","whiting_warming","whiting_warming_conf","red_hake_warming","red_hake_warming_conf","red_crab_warming","red_crab_warming_conf","clams_warming","clams_warming_conf","squid_warming","squid_warming_conf","dogfish_warming","dogfish_warming_conf","summer_flnder_warming","summer_flnder_warming_conf","scup_warming","scup_warming_conf","black_seabass_warming","black_seabass_warming_conf","other_warming","other_warming_conf","change_other_spp","other_spp_impact","range_change","range_change_descrp","timing_change","timing_change_descrp","spp_neg","spp_pos","warming_concern","oa_concern","storm_concern","sea_level_concern","weather_concern","h20_quality_concern","algal_concern","habitat_concern","think_warming","think_oa","think_storm","think_sea_level","think_weather","think_h20_quality","think_algal","think_habitat","pop_size_concern","bycatch_concern","value_concern","costs_concern","sa_concern","distance_concern","reg_concern","osw_concern","aqua_concern","think_pop_size","think_bycatch","think_value","think_costs","think_sa","think_distance","think_reg","think_osw","think_aqua","graying_fleet_concern","fish_comm_concern","resid_concern","infrastructure_concern","workforce_concern","think_graying_fleet","think_fish_comm","think_resid","think_infrastructure","think_workforce","phsy_health_concern","mental_health_concern","safe_at_sea_concern","family_concern","finance_concern","think_phsy_health","think_mental_health","think_safe_at_sea","think_family","think_finance","smoke","alcohol","believe","harm_me","harm_future","leave_fishing","risk","no_point","no_fish","recreational","other_fishery","internal","aquaculture","tourism","development","shipping","osw","fish_neg_wellbeing","fish_neg_health","fish_neg_mental","fish_increase_stress","env_neg_welbeing","env_neg_health","env_neg_mental","env_increase_stress","env_neg_safety","enc_child","identity","comm_support","generation","connect_env","connect_comm","money","plan","job_sat","effective_mgmt","data","find_crew","voice","climate_in_mgmt","equitable","opp_outside","opp_crew","new_fishery","nat_resource_job","other_job","loan","distance","strong_comm","climate_refugees","adapt_mgmt","const_reg","waterfront","covid_mkt","intl_trade","new_mkt","reliable_crew","fish_reg","quota","spp_dist","climate_chng","other_concern","other_concern_descrp","flexible_mgmt","noanswerq44_r1","sppt_climate_change","metrics","concern_future","list","uuid","source","date"
"165",2519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Green Harbor, mass",2066,"25+","Duxbury",2332,"25+",1,0,0,0,NA,"1-3","36-45",0,0,0,1,0,0,0,0,NA,"no",NA,"none","60-70","male",NA,"no","increase","no_change","decrease",NA,NA,"yes_neg","Water is warming faster than usual","slight_neg","high","idk","NA","no_effect","high","idk","NA","strong_neg","med","no_effect","high","idk","NA","idk","NA","strong_pos","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"no",NA,"yes","Delayed start because of right whale s","Who knows?","All fisheries due to warming ocean","very","very","somewhat","very","very","somewhat","somewhat","somewhat","frequently","frequently","occasionally","frequently","frequently","occasionally","frequently","occasionally","very","very","somewhat","very","somewhat","none","very","none","none","frequently","never","frequently","frequently","frequently","never","frequently","never","never","very","very","none","somewhat","somewhat","frequently","never","never","occasionally","never","none","none","none","none","somewhat","occasionally","never","occasionally","never","never","yes","3-4","strongly_agree","strongly_agree","strongly_agree","strongly_disagree","strongly_agree","strongly_disagree","strongly_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","neutral","strongly_disagree","somewhat_agree","neutral","somewhat_agree","somewhat_agree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_agree","neutral","neutral","neutral","somewhat_disagree","somewhat_disagree","strongly_agree","somewhat_agree","somewhat_agree","strongly_agree","neutral","somewhat_agree","somewhat_disagree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_agree","neutral","strongly_agree","somewhat_agree","neutral","somewhat_agree","strongly_disagree","strongly_disagree","somewhat_agree","somewhat_agree","strongly_disagree","somewhat_agree","neutral","neutral","somewhat_agree",0,1,1,1,0,0,0,0,0,0,NA,"Not sure, I'm getting tired of questioning",0,"Same as above","Please!","Will there be another generation of fishermen? I don't know. It's hard work and u have to love what you're doing.",1,"n55vh8tfu8s08b1k","4HU7yb95Ic","07/21/2020 14:11"
"166",2527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"waldoboro",4572,"15-25","waldoboro maine",4572,"25+",1,1,0,0,NA,"none","U25",0,0,0,1,0,0,0,0,NA,"no",NA,"50+","60-70","male",NA,"no","increase","increase","decrease","decrease","species","yes_neg","less bait  fewer lobsters  more competition   fewer days at sea","strong_neg","high","strong_neg","high","strong_neg","high","strong_neg","high","strong_neg","high","strong_neg","high","idk","NA","strong_neg","high","idk","NA","idk","NA","idk","NA","strong_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","high","strong_neg","high","strong_neg","med","strong_neg","high","idk","NA","idk","NA","idk","NA","NA","NA","yes","invasive green crabs","yes","greatly reduced catch","yes","longer season","mussels","green crabs","very","very","somewhat","somewhat","somewhat","very","very","very","occasionally","frequently","occasionally","occasionally","occasionally","frequently","occasionally","frequently","very","very","very","very","very","none","none","somewhat","somewhat","frequently","occasionally","occasionally","occasionally","occasionally","never","never","occasionally","frequently","somewhat","none","none","somewhat","somewhat","occasionally","never","never","occasionally","occasionally","very","none","none","none","somewhat","frequently","never","occasionally","never","occasionally","no","1-2","strongly_agree","somewhat_agree","strongly_agree","neutral","strongly_agree","strongly_disagree","strongly_disagree","somewhat_disagree","strongly_agree","somewhat_agree","neutral","somewhat_agree","neutral","neutral","neutral","neutral","neutral","neutral","somewhat_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","neutral","strongly_disagree","somewhat_agree","strongly_agree","neutral","strongly_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","somewhat_agree","neutral","somewhat_disagree","neutral","strongly_agree","strongly_agree","neutral","somewhat_disagree","somewhat_agree","somewhat_disagree","strongly_agree",1,1,0,0,0,0,0,0,1,0,NA,"Willingness to restrict harvest",0,"collective global effort","water temperature   ocean acidification","not much hope",2,"3sqbz21zu15bemms","JTjobTu25W","07/21/2020 15:09"
"167",2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,1,0,0,0,NA,"Bourne",2532,"15-25","Bourne",2532,"25+",0,1,0,0,NA,"none","U25",0,0,0,0,0,0,1,0,NA,"no",NA,"50+","50-60","male",NA,"no","no_change","no_change","decrease","decrease","They don't let you fish them when they are in close in close","no",NA,"no_effect","high","no_effect","high","no_effect","high","slight_neg","high","no_effect","high","no_effect","high","no_effect","high","slight_neg","high","no_effect","med","no_effect","med","idk","high","no_effect","high","no_effect","high","slight_neg","med","slight_pos","high","slight_pos","med","no_effect","high","idk","high","idk","high","slight_neg","high","slight_neg","high","no_effect","high","slight_pos","high","slight_pos","high","slight_pos","high","strong_pos","high","NA","NA","yes","Water too warm for striped bass to come in close","yes","More fishermen in better Electronics","yes","When the fish are in they don't let you fish them they open the fishery when the fish move offshore","Lobster cuz he's going to be more sea bass around that are going to eat the small lobster and deplete the lobster","Sea bass toadfish sand shark","none","none","none","none","none","very","very","somewhat","occasionally","never","never","never","never","frequently","frequently","occasionally","somewhat","none","very","very","very","very","very","none","none","occasionally","frequently","never","frequently","frequently","frequently","frequently","never","never","none","somewhat","very","none","none","never","occasionally","occasionally","never","never","somewhat","none","very","none","somewhat","occasionally","never","frequently","never","frequently","no","NA","somewhat_agree","somewhat_disagree","somewhat_agree","strongly_disagree","neutral","strongly_agree","strongly_agree","somewhat_disagree","somewhat_disagree","somewhat_agree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","neutral","somewhat_disagree","strongly_agree","somewhat_agree","somewhat_agree","strongly_disagree","strongly_disagree","strongly_agree","strongly_disagree","neutral","neutral","strongly_disagree","somewhat_agree","strongly_disagree","strongly_disagree","neutral","somewhat_agree","somewhat_agree","strongly_agree","neutral","strongly_disagree","somewhat_disagree","strongly_disagree","strongly_disagree","strongly_agree",0,0,0,0,0,1,1,1,0,0,NA,"Try listening to the fisherman that care",0,"Nothing","Different species of fish moving in","Environmental police have to do their job",1,"csd4jrs7f9j690z6","q5sWIi8PKX","07/21/2020 14:49"
"168",2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Oyster grower and wild shellfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,"Duxbury mass.",2332,"25+","Duxbury mass.",2332,"25+",0,0,0,1,"Grower shellfish harvester","none","U25",0,0,0,0,0,0,0,1,"Hand harvest","no",NA,"none","60-70","male",NA,"no","increase","no_change","decrease","decrease","Oysters, mussels, steamers","yes_neg","My oysters are growing more slowly and some not at all","idk","high","idk","high","idk","high","idk","high","idk","high","idk","NA","idk","high","idk","high","strong_neg","high","idk","high","idk","high","idk","high","idk","high","idk","high","idk","high","idk","high","NA","NA","idk","NA","NA","NA","idk","NA","strong_neg","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","high","no",NA,"yes","No mussel sets and no steamer clam sets","no",NA,"Quite concerned! Often think about this.,  lobster, cod and all shellfish","No","very","very","somewhat","very","very","very","very","very","frequently","frequently","occasionally","frequently","occasionally","frequently","frequently","frequently","very","very","somewhat","none","somewhat","none","somewhat","none","very","frequently","occasionally","frequently","never","occasionally","never","occasionally","never","frequently","none","none","none","very","very","never","occasionally","occasionally","frequently","never","none","somewhat","somewhat","somewhat","very","never","occasionally","occasionally","occasionally","frequently","no","NA","strongly_agree","strongly_agree","strongly_agree","strongly_agree","strongly_agree","strongly_disagree","strongly_disagree","strongly_agree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_agree","neutral","neutral","somewhat_agree","neutral","neutral","somewhat_agree","somewhat_agree","somewhat_disagree","strongly_disagree","strongly_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_disagree","somewhat_agree","strongly_agree","neutral","somewhat_disagree","somewhat_agree","neutral","strongly_agree","strongly_agree","strongly_disagree","somewhat_disagree","strongly_disagree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","neutral","somewhat_agree","neutral","neutral",0,0,1,0,0,0,0,1,1,0,NA,NA,1,"Political will to be carbon neutral ASAP","Ph, temperature, salinity, co2 levels and engine exhaust","?",1,"tfnxzyn8h44up4j2","fAVcsVcn2s","07/21/2020 14:48"
"169",2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,NA,"Cushing Naine",4563,"25+","Cushing Maine",4563,"25+",1,1,1,0,NA,"1-3","36-45",0,0,0,1,0,0,0,0,NA,"yes","Scallops New Bedford Ma.","U10","40-50","male",NA,"no","increase","increase","increase",NA,NA,"yes_pos","Warning trend has multiplied lobster populations","strong_pos","high","slight_neg","high","slight_pos","high","strong_pos","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"yes","Much greater amount of lobster","no",NA,"Clams","No","very","very","very","very","very","very","very","very","frequently","frequently","occasionally","occasionally","occasionally","occasionally","occasionally","occasionally","very","very","very","very","very","very","very","very","very","occasionally","occasionally","frequently","frequently","occasionally","occasionally","frequently","occasionally","occasionally","very","very","very","very","very","frequently","occasionally","occasionally","frequently","frequently","very","very","very","very","very","frequently","frequently","frequently","frequently","frequently","no","1-2","strongly_agree","strongly_agree","strongly_agree","neutral","strongly_agree","strongly_agree","strongly_agree","strongly_disagree","strongly_disagree","neutral","somewhat_agree","neutral","strongly_agree","strongly_agree","somewhat_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","somewhat_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","strongly_disagree","neutral","strongly_agree","strongly_disagree","strongly_agree","somewhat_agree","neutral","strongly_disagree","neutral","neutral","neutral","somewhat_disagree","strongly_disagree","strongly_agree","neutral","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","neutral","strongly_disagree","strongly_agree",1,0,0,0,0,1,0,0,1,0,NA,NA,1,"Na","Na","Na",2,"hpazjjemapd5829q","UoZYuSV0fb","07/21/2020 15:35"
"170",2536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Blue hill",4614,"0-5","Blue hill",4614,"5-15",0,1,0,0,NA,"none","36-45",0,0,0,1,0,0,0,0,NA,"no",NA,"50+","70+","male",NA,"no","no_change","no_change","no_change",NA,NA,"yes_pos","Not at all. Climate change is not anymore an issue than the weather. Regulations and political meddling  will eventually destroy fisherman and their families.    I came from Florida where absurd regulations led to the end of commercial fishing.....    Climate change is a straw man for  over zealous good intentions with desasterous results.","slight_pos","high","no_effect","high","idk","NA","slight_pos","med","idk","NA","strong_pos","med","strong_pos","high","slight_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_pos","high","idk","NA","idk","NA","idk","NA","slight_neg","low","no_effect","med","strong_pos","high","slight_pos","med","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"yes","Foreign competition","no",NA,"None. It is a false narratixe. Climate change is a hoax.","None. It has no effect..... other than globally.","none","none","none","none","none","somewhat","somewhat","somewhat","never","never","never","never","never","never","occasionally","occasionally","somewhat","very","somewhat","very","none","somewhat","very","none","none","occasionally","occasionally","frequently","frequently","never","occasionally","frequently","never","never","somewhat","somewhat","none","very","very","occasionally","occasionally","occasionally","frequently","frequently","very","somewhat","somewhat","very","very","occasionally","occasionally","occasionally","occasionally","frequently","no","1-2","strongly_disagree","strongly_disagree","strongly_disagree","neutral","strongly_agree","strongly_agree","strongly_agree","neutral","somewhat_agree","neutral","strongly_disagree","somewhat_disagree","strongly_disagree","somewhat_disagree","neutral","neutral","neutral","neutral","neutral","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","strongly_disagree","neutral","somewhat_agree","neutral","somewhat_agree","strongly_agree","neutral","strongly_agree","somewhat_agree","strongly_agree","strongly_disagree","somewhat_agree","somewhat_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","strongly_disagree","strongly_disagree","strongly_agree",0,1,0,0,0,1,1,0,0,0,NA,"Put 50% of all  regulatory boards as real fishermen or fisherwomen",0,"None. It is a hoax. But then what would you use to shut down our industry","Hot air from regulation meetings","It is doomed by misguided  actions of “ eco”  fanatics.",2,"qjr48nbh8tyjknhf","tN4aBj4U3a","07/21/2020 15:00"
"171",2537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Kittery Point",3905,"25+","Kittery Point",3905,"25+",1,1,0,0,NA,"1-3","25-35",0,0,0,1,0,0,0,0,NA,"no",NA,"none","60-70","male",NA,"no","increase","increase","no_change",NA,NA,"yes_neg","warmer water","slight_neg","med","slight_neg","med","slight_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","slight_neg","med","slight_neg","med","slight_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"no",NA,"no",NA,"lobster","no","somewhat","somewhat","somewhat","somewhat","somewhat","somewhat","very","somewhat","frequently","occasionally","frequently","frequently","frequently","frequently","frequently","occasionally","somewhat","very","none","very","very","somewhat","very","somewhat","somewhat","frequently","occasionally","frequently","frequently","frequently","occasionally","frequently","occasionally","occasionally","very","very","very","very","very","frequently","frequently","frequently","frequently","frequently","somewhat","somewhat","very","somewhat","very","frequently","frequently","frequently","occasionally","frequently","no","NA","strongly_agree","somewhat_agree","somewhat_agree","strongly_disagree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","somewhat_agree","somewhat_agree","I have not observed any changes","I have not observed any changes","somewhat_agree","I have not observed any changes","I have not observed any changes","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","strongly_agree","somewhat_agree","strongly_agree","somewhat_agree","neutral","strongly_disagree","somewhat_disagree","neutral","somewhat_agree","somewhat_disagree","neutral","strongly_disagree","strongly_disagree","strongly_disagree","neutral","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","neutral",0,1,0,0,0,1,0,0,0,1,"Bait","Have people who actually fish making rules and regulations",0,"no idea","?","no",2,"3y5etbrd6sfz8xfy","zCp3tSdyIR","07/21/2020 14:43"
"172",2543,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Tuna",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"Cumberland Maine",4021,"25+","Raymond Maine",4071,"25+",0,1,1,0,NA,"1-3","25-35",0,0,0,0,0,0,1,0,NA,"no",NA,"U10","50-60","male",NA,"no","increase","increase","no_change",NA,NA,"yes_pos","More fish migrating north","strong_neg","high","slight_neg","med","slight_pos","med","slight_neg","med","slight_neg","med","slight_neg","med","idk","NA","slight_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","slight_pos","med","slight_pos","low","idk","NA","idk","NA","idk","NA","slight_pos","high","yes","More sharks in Tuna grounds","yes","More northern movement","no",NA,"Lobster","Tuna","very","very","somewhat","somewhat","somewhat","very","very","somewhat","frequently","frequently","occasionally","occasionally","never","frequently","frequently","occasionally","somewhat","somewhat","very","very","very","somewhat","somewhat","very","somewhat","occasionally","frequently","never","never","occasionally","occasionally","occasionally","never","frequently","somewhat","somewhat","none","somewhat","somewhat","occasionally","occasionally","never","never","occasionally","somewhat","none","somewhat","somewhat","none","frequently","never","occasionally","never","never","no","1-2","strongly_agree","strongly_agree","strongly_agree","neutral","strongly_agree","somewhat_disagree","somewhat_disagree","strongly_disagree","neutral","neutral","somewhat_agree","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","somewhat_agree","somewhat_agree","neutral","neutral","neutral","somewhat_disagree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_disagree","somewhat_disagree","neutral","somewhat_agree","somewhat_agree","neutral","neutral","strongly_agree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","neutral",0,1,0,0,0,0,1,0,1,0,NA,NA,1,"More thoughtful regulation","Water temp and quality","Ni",2,"j9z6dn853faa1ez5","5iCiYT65mG","07/21/2020 14:51"
"173",2548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,1,0,0,0,NA,"Bass river mass.",2664,"25+","Yarmouth port",2675,"25+",0,1,0,0,NA,"1-3","25-35",0,0,0,1,0,0,1,0,NA,"no",NA,"10-25","70+","male",NA,"no","increase","no_change","no_change",NA,NA,"yes_pos","The fishing have moved to deeper waters","slight_neg","med","strong_neg","med","strong_neg","med","no_effect","high","strong_neg","high","strong_neg","high","strong_neg","high","strong_neg","high","slight_neg","med","strong_neg","high","slight_neg","med","slight_neg","med","strong_neg","med","strong_neg","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","no_effect","high","slight_neg","med","strong_neg","high","strong_neg","med","no_effect","high","slight_neg","med","NA","NA","no",NA,"yes","Less fish","no",NA,"Most species","All species","very","very","somewhat","somewhat","somewhat","somewhat","very","very","occasionally","occasionally","never","never","never","occasionally","frequently","occasionally","somewhat","very","somewhat","very","very","very","very","very","very","frequently","occasionally","occasionally","frequently","occasionally","frequently","occasionally","frequently","frequently","very","none","none","somewhat","somewhat","frequently","occasionally","occasionally","frequently","frequently","somewhat","somewhat","very","very","somewhat","never","never","occasionally","occasionally","frequently","no","1-2","somewhat_agree","neutral","neutral","strongly_agree","strongly_agree","strongly_agree","strongly_agree","strongly_disagree","neutral","strongly_disagree","somewhat_agree","strongly_disagree","strongly_agree","strongly_agree","strongly_agree","neutral","neutral","neutral","neutral","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_agree","strongly_disagree","neutral","somewhat_agree","neutral","strongly_disagree","strongly_disagree","somewhat_agree","somewhat_agree","strongly_agree","somewhat_disagree","somewhat_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_agree","somewhat_agree","somewhat_disagree","somewhat_disagree","neutral","strongly_disagree","somewhat_disagree","strongly_disagree","strongly_agree","strongly_disagree","strongly_disagree",1,1,0,0,1,0,0,0,0,0,NA,"Better regulations",0,"Better regulations","Bycatch & regulation","More commutation hmm with other flavored",1,"313v68ts3yvapr1q","v3cpfc4erB","07/21/2020 15:33"
"174",2549,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,NA,"Cushing",4563,"25+","Cushing",4563,"25+",1,1,0,0,NA,"1-3","36-45",0,0,0,1,1,0,0,0,NA,"no",NA,"none","50-60","male",NA,"no","increase","no_change","increase",NA,NA,"yes_pos","More lobster around than there has ever been","strong_pos","high","strong_pos","high","strong_pos","high","idk","NA","idk","NA","idk","NA","idk","NA","strong_pos","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","NA","NA","yes","Keep getting better","yes","More plentiful","no",NA,"Shrimp","Lobster ,Menhaden","somewhat","somewhat","somewhat","none","none","none","none","none","never","never","never","never","never","occasionally","never","never","none","none","none","somewhat","somewhat","none","very","somewhat","none","never","never","never","occasionally","occasionally","never","frequently","occasionally","never","none","none","none","somewhat","somewhat","never","never","never","occasionally","never","none","none","none","none","none","never","never","never","never","never","no","1-2","somewhat_agree","neutral","neutral","strongly_disagree","neutral","neutral","neutral","strongly_disagree","somewhat_disagree","neutral","neutral","somewhat_disagree","neutral","neutral","neutral","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","neutral","strongly_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_agree","somewhat_agree","strongly_agree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","neutral","strongly_agree","neutral","neutral","neutral","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","somewhat_disagree","somewhat_agree","neutral",1,0,0,1,0,1,0,0,0,0,NA,"Not sure",0,"None","Pollution","Just keeps getting better",2,"1w2xphjmc8fdad36","t4LAnREToc","07/21/2020 15:13"
